ID,REGION,DIVISION,STATE,FAMILY INCOME,HOUSEHOLD LANGUAGE,HOUSEHOLD INCOME,WORKERS IN FAMILY,PERSONS IN FAMILY
2012001406159,West,Pacific,6,11.8,English only,11.8,3+,3
2013000102990,West,Pacific,6,11.63,Other Non-English,11.63,2,4
2013000156435,West,Pacific,6,Non-Family,English only,9.1,Non-Family,Non-Family
2013000199522,West,Pacific,6,11.78,English only,12.13,1,2
2013000461364,West,Pacific,6,10.1,Other Non-English,10.1,0,3
2013000477937,West,Pacific,6,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2013000519806,West,Pacific,6,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2013000552741,West,Pacific,6,Non-Family,Other Non-English,11.62,Non-Family,Non-Family
2013000576507,West,Pacific,6,11.41,Other Non-English,11.41,2,3
2013000595917,West,Pacific,6,9.7,English only,10.66,2,3
2013000623047,West,Pacific,6,10.06,Other Non-English,10.06,2,4
2013000724614,West,Pacific,6,Non-Family,Other Non-English,10.06,Non-Family,Non-Family
2013000753847,West,Pacific,6,Non-Family,English only,11.25,Non-Family,Non-Family
2013000795625,West,Pacific,6,11.58,Other Non-English,11.58,2,3
2013000855579,West,Pacific,6,Non-Family,Other Non-English,10.84,Non-Family,Non-Family
2013000922119,West,Pacific,6,9.88,English only,9.88,1,4
2013000936334,West,Pacific,6,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2013000983850,West,Pacific,6,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2013000995273,West,Pacific,6,Non-Family,English only,10.94,Non-Family,Non-Family
2013001064345,West,Pacific,6,Non-Family,Other Non-English,11.44,Non-Family,Non-Family
2013001092864,West,Pacific,6,Non-Family,English only,10.92,Non-Family,Non-Family
2013001163709,West,Pacific,6,10.88,Other Non-English,10.88,1,5
2013001196580,West,Pacific,6,Non-Family,English only,10.57,Non-Family,Non-Family
2013001263762,West,Pacific,6,Non-Family,English only,10.08,Non-Family,Non-Family
2013001294840,West,Pacific,6,10.84,Other Non-English,10.84,3+,5
2013001315561,West,Pacific,6,Non-Family,English only,11.87,Non-Family,Non-Family
2013001400348,West,Pacific,6,11.87,Other Non-English,11.87,1,2
2013001430284,West,Pacific,6,Non-Family,Other Non-English,0,Non-Family,Non-Family
2013001432246,West,Pacific,6,Non-Family,English only,12.2,Non-Family,Non-Family
2009000198177,West,Mountain,8,Non-Family,English only,12.01,Non-Family,Non-Family
2009000376122,West,Mountain,8,12.08,English only,12.08,1,2
2009000475553,West,Mountain,8,11.85,English only,11.85,2,2
2009000879929,West,Mountain,8,Non-Family,English only,12.04,Non-Family,Non-Family
2009001327440,West,Mountain,8,Non-Family,English only,9.81,Non-Family,Non-Family
2010000076027,West,Mountain,8,11.95,English only,11.95,1,2
2010000207653,West,Mountain,8,11.51,English only,11.51,2,2
2010000300447,West,Mountain,8,12.7,English only,12.7,3+,3
2010001138405,West,Mountain,8,Non-Family,English only,11.45,Non-Family,Non-Family
2010001342464,West,Mountain,8,11.72,English only,11.72,0,2
2011000083210,West,Mountain,8,11.07,English only,11.07,2,2
2011000505147,West,Mountain,8,Non-Family,English only,9.41,Non-Family,Non-Family
2011001384274,West,Mountain,8,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2011001480293,West,Mountain,8,Non-Family,English only,11.34,Non-Family,Non-Family
2012001074316,West,Mountain,8,12.23,English only,12.23,0,2
2013000138899,West,Mountain,8,12.15,English only,12.15,1,2
2013000621005,West,Mountain,8,Non-Family,English only,11.7,Non-Family,Non-Family
2009000506248,Northeast,New England,9,Non-Family,English only,11.42,Non-Family,Non-Family
2009000786139,Northeast,New England,9,13.03,English only,13.03,3+,6
2010000094788,Northeast,New England,9,Non-Family,Other Non-English,12.56,Non-Family,Non-Family
2010000253785,Northeast,New England,9,12.58,English only,12.58,2,4
2011000557304,Northeast,New England,9,13.37,English only,13.37,0,2
2012001430244,Northeast,New England,9,Non-Family,English only,11.62,Non-Family,Non-Family
2013000028066,Northeast,New England,9,Non-Family,Other Non-English,9.34,Non-Family,Non-Family
2013000551290,Northeast,New England,9,Non-Family,English only,10.7,Non-Family,Non-Family
2013000862491,Northeast,New England,9,10.9,Other Non-English,10.9,2,2
2013001390955,Northeast,New England,9,Non-Family,English only,8.85,Non-Family,Non-Family
2009000024405,South,South Atlantic,10,Non-Family,Other Non-English,11.05,Non-Family,Non-Family
2009001208535,South,South Atlantic,10,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2012000326035,South,South Atlantic,10,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2012001410005,South,South Atlantic,10,Non-Family,English only,11.33,Non-Family,Non-Family
2009000142149,South,South Atlantic,11,Non-Family,English only,12.11,Non-Family,Non-Family
2009000775513,South,South Atlantic,11,12.26,English only,12.26,1,2
2010000270232,South,South Atlantic,11,12.91,Other Non-English,12.91,2,2
2010000575969,South,South Atlantic,11,Non-Family,English only,11.49,Non-Family,Non-Family
2009000099147,South,South Atlantic,12,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2009000129509,South,South Atlantic,12,12.83,English only,12.83,1,2
2009000234328,South,South Atlantic,12,Non-Family,English only,12.61,Non-Family,Non-Family
2009000344553,South,South Atlantic,12,12.5,Other Non-English,12.5,2,2
2009000448415,South,South Atlantic,12,Non-Family,English only,11.05,Non-Family,Non-Family
2009000519943,South,South Atlantic,12,12.08,English only,12.08,3+,4
2009000725879,South,South Atlantic,12,12.3,English only,12.3,1,2
2009000777267,South,South Atlantic,12,Non-Family,English only,11.56,Non-Family,Non-Family
2009001083209,South,South Atlantic,12,9.35,English only,9.35,2,2
2009001225687,South,South Atlantic,12,11.47,English only,11.47,0,2
2009001275105,South,South Atlantic,12,11.74,English only,11.74,1,2
2009001299052,South,South Atlantic,12,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2010000027908,South,South Atlantic,12,12.11,English only,12.11,0,2
2010000028991,South,South Atlantic,12,12.43,English only,12.43,2,3
2010000146475,South,South Atlantic,12,10.9,English only,10.9,2,2
2010000153925,South,South Atlantic,12,12.76,Other Non-English,12.76,2,3
2010000278631,South,South Atlantic,12,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2010000478016,South,South Atlantic,12,12.22,English only,12.22,2,2
2010000537628,South,South Atlantic,12,11.84,English only,11.84,2,2
2010000573365,South,South Atlantic,12,Non-Family,English only,12.13,Non-Family,Non-Family
2010000813377,South,South Atlantic,12,12.25,English only,12.25,2,3
2010000832896,South,South Atlantic,12,12.08,Other Non-English,12.08,1,4
2010000871872,South,South Atlantic,12,Non-Family,Other Non-English,11.69,Non-Family,Non-Family
2010000889151,South,South Atlantic,12,Non-Family,English only,13.09,Non-Family,Non-Family
2010000926436,South,South Atlantic,12,Non-Family,English only,7.8,Non-Family,Non-Family
2010001065804,South,South Atlantic,12,Non-Family,Other Non-English,13.19,Non-Family,Non-Family
2010001130560,South,South Atlantic,12,Non-Family,English only,10.65,Non-Family,Non-Family
2010001255041,South,South Atlantic,12,11.48,English only,11.48,0,2
2010001322122,South,South Atlantic,12,11.87,English only,11.87,0,2
2010001362649,South,South Atlantic,12,Non-Family,Other Non-English,11.57,Non-Family,Non-Family
2011000025688,South,South Atlantic,12,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2011000439815,South,South Atlantic,12,12.03,Other Non-English,12.03,1,2
2011000444487,South,South Atlantic,12,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2011000489172,South,South Atlantic,12,Non-Family,English only,10.44,Non-Family,Non-Family
2011000567848,South,South Atlantic,12,11.51,Other Non-English,11.51,2,3
2011000645965,South,South Atlantic,12,13.48,English only,13.48,0,2
2011000881694,South,South Atlantic,12,11.98,English only,11.98,2,3
2011000894502,South,South Atlantic,12,12.54,Other Non-English,12.54,2,5
2011000933276,South,South Atlantic,12,10.34,Other Non-English,10.74,0,2
2011001005924,South,South Atlantic,12,10.64,English only,10.64,1,5
2012000035316,South,South Atlantic,12,10.11,English only,10.11,1,2
2012000135333,South,South Atlantic,12,10.98,English only,10.98,2,3
2012000147139,South,South Atlantic,12,11.69,English only,11.69,2,2
2012000399889,South,South Atlantic,12,10.63,English only,10.63,0,2
2012000428280,South,South Atlantic,12,Non-Family,English only,7.35,Non-Family,Non-Family
2012000774242,South,South Atlantic,12,11.95,Other Non-English,11.95,1,2
2012001070949,South,South Atlantic,12,11.14,English only,11.14,1,2
2012001122450,South,South Atlantic,12,11.52,English only,11.52,2,2
2012001145033,South,South Atlantic,12,Non-Family,English only,10.76,Non-Family,Non-Family
2012001284676,South,South Atlantic,12,Non-Family,English only,9.21,Non-Family,Non-Family
2012001307987,South,South Atlantic,12,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2012001448307,South,South Atlantic,12,10.6,Other Non-English,10.6,1,2
2012001461436,South,South Atlantic,12,Non-Family,Other Non-English,11.92,Non-Family,Non-Family
2013000122156,South,South Atlantic,12,9.93,Other Non-English,9.93,1,4
2013000251281,South,South Atlantic,12,12.79,Other Non-English,12.8,1,4
2013000317327,South,South Atlantic,12,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2013000445861,South,South Atlantic,12,9.96,Other Non-English,9.96,1,2
2013000452231,South,South Atlantic,12,11.18,English only,11.18,0,2
2013000518838,South,South Atlantic,12,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2013000743419,South,South Atlantic,12,Non-Family,Other Non-English,12.18,Non-Family,Non-Family
2013000872395,South,South Atlantic,12,Non-Family,English only,0,Non-Family,Non-Family
2013000941193,South,South Atlantic,12,11.55,English only,11.55,2,3
2013001015537,South,South Atlantic,12,Non-Family,Other Non-English,9.28,Non-Family,Non-Family
2013001098733,South,South Atlantic,12,Non-Family,English only,9.14,Non-Family,Non-Family
2013001108486,South,South Atlantic,12,9.47,English only,9.47,0,2
2013001163925,South,South Atlantic,12,10.6,English only,10.6,1,2
2013001182932,South,South Atlantic,12,10.66,English only,10.66,1,2
2013001295053,South,South Atlantic,12,Non-Family,Other Non-English,9.22,Non-Family,Non-Family
2013001299403,South,South Atlantic,12,Non-Family,English only,9.3,Non-Family,Non-Family
2013001403786,South,South Atlantic,12,Non-Family,English only,10.58,Non-Family,Non-Family
2013001423548,South,South Atlantic,12,Non-Family,English only,10.67,Non-Family,Non-Family
2013001475358,South,South Atlantic,12,11.19,English only,11.19,2,2
2013001484341,South,South Atlantic,12,10.32,Other Non-English,10.32,2,6
2009000314929,South,South Atlantic,13,10.44,Other Non-English,10.44,1,3
2009000489461,South,South Atlantic,13,9.73,English only,9.73,0,2
2009001162655,South,South Atlantic,13,9.77,English only,9.77,0,4
2009001168173,South,South Atlantic,13,12.71,English only,12.71,3+,3
2009001383396,South,South Atlantic,13,8.69,English only,8.69,0,2
2010000571343,South,South Atlantic,13,10.99,Other Non-English,10.99,2,3
2010000636681,South,South Atlantic,13,11.12,English only,11.12,0,2
2010000708812,South,South Atlantic,13,Non-Family,English only,10.42,Non-Family,Non-Family
2010000792220,South,South Atlantic,13,11.8,English only,11.8,2,3
2010001015468,South,South Atlantic,13,11.6,English only,11.6,2,2
2010001260797,South,South Atlantic,13,12.68,English only,12.68,2,4
2011000120185,South,South Atlantic,13,Non-Family,English only,Non-Family,Non-Family,Non-Family
2011000144323,South,South Atlantic,13,12.14,English only,12.14,2,5
2011000341530,South,South Atlantic,13,11.71,English only,11.71,1,2
2011000404216,South,South Atlantic,13,10.44,English only,10.44,1,4
2011000468625,South,South Atlantic,13,11.32,English only,11.32,2,2
2011000482076,South,South Atlantic,13,10.34,English only,10.34,0,2
2011000536546,South,South Atlantic,13,11.26,English only,11.26,1,3
2011000736268,South,South Atlantic,13,Non-Family,English only,10.97,Non-Family,Non-Family
2011000912378,South,South Atlantic,13,12.18,English only,12.18,2,2
2011000947899,South,South Atlantic,13,Non-Family,English only,11.4,Non-Family,Non-Family
2011000958744,South,South Atlantic,13,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2011001401901,South,South Atlantic,13,11.79,English only,11.79,2,4
2011001406317,South,South Atlantic,13,11.74,English only,11.74,2,4
2012000385382,South,South Atlantic,13,Non-Family,English only,11.86,Non-Family,Non-Family
2012000934012,South,South Atlantic,13,11.97,English only,11.97,1,2
2013000228907,South,South Atlantic,13,10.18,English only,10.18,0,3
2013000453272,South,South Atlantic,13,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2013000472182,South,South Atlantic,13,11.19,English only,11.19,1,2
2013000627633,South,South Atlantic,13,Non-Family,English only,9.12,Non-Family,Non-Family
2013000830852,South,South Atlantic,13,Non-Family,English only,6.96,Non-Family,Non-Family
2013001018020,South,South Atlantic,13,11.55,English only,11.55,2,4
2011000164871,West,Pacific,15,Non-Family,English only,10.23,Non-Family,Non-Family
2011000209977,West,Pacific,15,10.65,English only,10.65,1,2
2013000400906,West,Pacific,15,10.42,Other Non-English,10.42,1,2
2013000803610,West,Pacific,15,11.2,English only,11.2,0,2
2013001044781,West,Pacific,15,10.67,English only,11.37,2,2
2013001459964,West,Pacific,15,Non-Family,English only,10.9,Non-Family,Non-Family
2011000910420,West,Mountain,16,11.73,English only,11.73,2,2
2012000609976,West,Mountain,16,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2013000024321,West,Mountain,16,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2013000916965,West,Mountain,16,10.43,English only,10.43,0,2
2013001307098,West,Mountain,16,Non-Family,English only,10.36,Non-Family,Non-Family
2009000206050,Midwest,East North Central,17,Non-Family,Other Non-English,10.29,Non-Family,Non-Family
2009000300975,Midwest,East North Central,17,11.76,English only,11.76,0,2
2009000524447,Midwest,East North Central,17,12.5,English only,12.5,2,3
2009000637884,Midwest,East North Central,17,Non-Family,English only,10.35,Non-Family,Non-Family
2009000730479,Midwest,East North Central,17,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2009000861278,Midwest,East North Central,17,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2009000924458,Midwest,East North Central,17,12.69,Other Non-English,12.69,2,2
2009000927456,Midwest,East North Central,17,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2009000935758,Midwest,East North Central,17,Non-Family,English only,13.1,Non-Family,Non-Family
2009001035749,Midwest,East North Central,17,12.38,English only,12.38,1,5
2009001094503,Midwest,East North Central,17,Non-Family,Other Non-English,9.64,Non-Family,Non-Family
2009001107284,Midwest,East North Central,17,13.42,English only,13.42,2,5
2009001154907,Midwest,East North Central,17,11.91,English only,12.25,1,2
2010000131746,Midwest,East North Central,17,Non-Family,English only,12.28,Non-Family,Non-Family
2010000607440,Midwest,East North Central,17,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2010000609572,Midwest,East North Central,17,Non-Family,Non-Family,Non-Family,Non-Family,Non-Family
2010000673500,Midwest,East North Central,17,Non-Family,English only,13.83,Non-Family,Non-Family
2010000837183,Midwest,East North Central,17,12.25,English only,12.25,0,2
